"soloistinstrument","cleaname"
"Violin","Johann Sebastian Bach"
"Contralto","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Flute","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Trumpet","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Trombone","Johann Sebastian Bach"
"Dancer","Johann Sebastian Bach"
"Vocalist","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"French Horn","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Bassoon","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Dancer","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Piano","Johann Sebastian Bach"
"Soprano","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Cello","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Dancer","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Organ","Johann Sebastian Bach"
"Bass","Johann Sebastian Bach"
"English Horn","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
"Baritone","Johann Sebastian Bach"
"Harpsichord","Johann Sebastian Bach"
"Violin","Johann Sebastian Bach"
"Tenor","Johann Sebastian Bach"
"Viola","Johann Sebastian Bach"
"Chorus","Johann Sebastian Bach"
